country,temperature_celsius,precip_mm,humidity,wind_kph
Israel,23.131341301460825,0.013359893758300134,49.99203187250996,14.137184594953519
كولومبيا,23.1,0.05,95.0,6.5
Nepal,23.084329349269588,0.3797211155378486,57.625498007968126,7.060690571049136
Cote d'Ivoire,22.999657534246573,0.03866438356164383,92.36643835616438,4.733904109589041
Lebanon,22.99362549800797,0.05827357237715804,59.93891102257636,14.091766268260292
Cuba,22.683866666666667,0.03089333333333333,91.65866666666666,15.258266666666668
Zimbabwe,22.67273936170213,0.08795212765957447,45.08244680851064,11.045079787234043
Venezuela,22.558643617021275,0.06369680851063829,83.21409574468085,5.4493351063829785
Turkmenistan,22.55484727755644,0.022868525896414343,40.54714475431607,12.811553784860559
Tajikistan,22.413297872340426,0.06513297872340425,38.57313829787234,7.0126329787234045
Botswana,22.393899204244033,0.041379310344827586,53.42440318302387,12.774933687002651
Belize,22.122429906542056,0.08240320427236315,95.82510013351134,4.427236315086782
Yemen,22.07430463576159,0.03622516556291391,25.050331125827814,12.147682119205298
Uzbekistan,22.064105960264904,0.040794701986754965,35.50993377483444,9.496158940397352
Kosovo,21.75,0.14500000000000002,68.0,6.5
Malta,21.68211920529801,0.04642384105960264,68.89139072847682,19.20701986754967
Greece,21.67826666666667,0.03832,50.448,14.280533333333333
Tunisia,21.519015957446808,0.023364361702127658,66.52792553191489,14.115957446808512
Namibia,21.46525198938992,0.024442970822281168,40.0079575596817,15.704244031830239
Kenya,21.43452380952381,0.10359788359788359,60.597883597883595,12.176587301587302
Syria,21.4265604249668,0.018725099601593624,41.67596281540504,13.447011952191236
Jordan,21.369271523178806,0.015509933774834438,41.95099337748344,16.880529801324503
Swaziland,21.35436241610738,0.05287248322147651,60.267114093959734,8.480268456375839
Haiti,21.3254327563249,0.021318242343541946,86.53661784287617,6.975366178428762
Eritrea,21.12291390728477,0.09337748344370861,44.07019867549669,10.45271523178808
Paraguay,21.043691899070385,0.07598937583001328,66.83001328021248,8.923107569721116
Letonia,20.6,1.83,94.0,13.3
South Africa,20.366976127320957,0.05303713527851459,52.257294429708224,11.482360742705572
Algeria,20.14441489361702,0.04958776595744681,65.40957446808511,12.657180851063831
Japan,19.79933774834437,0.0906092715231788,60.10463576158941,17.492582781456953
Ethiopia,19.573705179282868,0.21816733067729083,52.46746347941567,10.145683930942894
Iran,19.354955570745044,0.028140806561859195,29.924812030075188,12.387764866712235
Honduras,19.35060080106809,0.061468624833110816,86.39385847797062,6.174098798397863
Costa Rica,19.280026809651474,0.08530831099195711,84.84182305630027,7.078284182305629
Albania,19.213811420982736,0.11867197875166002,57.75962815405047,8.362682602921648
Afghanistan,19.074701986754967,0.03242384105960265,27.29801324503311,8.236556291390729
Lesotho,18.762632978723403,0.05695478723404255,45.868351063829785,12.253856382978723
Azerbaijan,18.689508632138114,0.03232403718459495,61.9136786188579,21.795750332005312
Montenegro,18.51529255319149,0.12402925531914893,59.409574468085104,7.251462765957447
Morocco,18.402127659574468,0.0499468085106383,80.6063829787234,12.698537234042552
Italy,18.364986737400532,0.06725464190981432,68.05039787798408,10.18448275862069
Vatican City,18.349403973509933,0.06904635761589403,68.0794701986755,10.310993377483443
China,18.289494680851064,0.05724734042553191,41.930851063829785,10.475
Peru,18.095861148197596,0.004205607476635514,83.83177570093459,8.941255006675567
Monaco,17.74053333333333,0.07190666666666666,63.952,9.8976
Bélgica,17.4,0.12,63.0,22.0
Guatemala,17.266265060240965,0.07546184738955823,89.72690763052209,6.047121820615796
Bolivia,17.158622994652404,0.10598930481283422,77.91978609625669,5.108288770053476
Kyrghyzstan,17.149003984063746,0.08911022576361222,45.276228419654714,9.737848605577689
Georgia,17.063648468708386,0.04880159786950732,56.14513981358189,10.749267643142476
Portugal,16.817928286852588,0.07714475431606906,77.50332005312085,14.490438247011951
Armenia,16.764588859416445,0.04726790450928382,45.13793103448276,7.110212201591512
San Marino,16.677896138482023,0.1037017310252996,70.59121171770973,11.826631158455392
South Korea,16.665737051792828,0.08564409030544488,60.26958831341302,11.295219123505975
Turkey,16.618829008649367,0.05705256154357951,59.854956753160344,13.330538922155688
Macedonia,16.515374331550802,0.055975935828877,61.22727272727273,6.503609625668449
Гватемала,15.9,0.0,95.0,6.5
Spain,15.610212201591512,0.04438992042440318,62.56631299734748,10.776392572944296
Romania,15.467553191489362,0.04784574468085106,62.92686170212766,11.835372340425533
Australia,15.415364238410596,0.06880794701986756,63.93509933774835,12.288609271523178
Serbia,15.230636604774535,0.07149867374005305,64.17506631299734,12.131962864721485
Argentina,14.798537234042554,0.07538563829787234,82.41356382978724,10.305984042553192
Mexico,14.7052,0.04576,68.06266666666667,5.694533333333333
Bulgaria,14.524016203703704,0.07807870370370369,61.651620370370374,9.984085648148149
North Korea,14.467553191489362,0.08327127659574468,57.860372340425535,12.576994680851064
Uruguay,14.439442231075697,0.06905710491367861,87.01195219123505,15.732669322709164
New Zealand,14.035723771580345,0.11381142098273572,78.33731739707835,23.249933598937584
Croatia,14.035685752330226,0.08612516644474036,70.25299600532624,7.303462050599201
Colombia,13.9,0.05,81.0,4.5
Bhutan,13.479920212765958,0.30051861702127664,60.857712765957444,8.09840425531915
Hungary,13.411551925320888,0.050245040840140025,65.4434072345391,11.072578763127188
Slovakia,13.237135278514588,0.055411140583554376,67.16445623342175,14.151458885941645
France,13.137317397078352,0.08938911022576361,76.6281540504648,12.274900398406375
Slovenia,12.929708222811671,0.1430503978779841,74.26259946949602,6.074005305039788
Bosnia and Herzegovina,12.814588859416446,0.1340185676392573,71.8368700265252,6.787665782493368
Austria,12.745816733067729,0.06634794156706507,67.95484727755644,12.72124833997344
Ukraine,12.482913907284768,0.05466225165562914,60.94834437086093,13.891788079470198
Belgium,12.351912181303117,0.08111898016997167,77.23725212464589,16.33399433427762
Netherlands,12.2631299734748,0.09129973474801062,77.45888594164457,15.947082228116711
United Kingdom,12.108244680851064,0.07061170212765958,78.73271276595744,13.857446808510637
Germany,11.84946949602122,0.06107427055702917,71.65251989389921,13.953448275862069
